('82-201', '1950:896'),
('82-202', '1932:8'),
('82-202', '1935:85'),
('82-203', '1912:390'),
('82-203', '1945:557'),
('82-203', '1950:1052'),
('82-203', '1950:188'),
('82-204', '1932:209'),
('82-204', '1949:782'),
('82-207', '1947:208'),
('82-207', '1949:782'),
('82-209', '1949:288'),
('82-213', '1948:169'),
('82-213', '1949:626'),
('82-214', '1934:847'),
('82-214', '1937:896'),
('82-215', '1938:675'),
('82-215', '1939:2'),
('82-218', '1930:497'),
('82-219', '1930:497'),
('82-220', '1946:753'),
('82-226', '1947:208'),
('82-226', '1949:686'),
('82-23', '1924:320'),
('82-23', '1934:672'),
('82-23', '1940:757'),
('82-23', '1946:728'),
('82-23', '1948:625'),
('82-233', '1930:349'),
('82-233', '1946:957'),
('82-234', '1934:868'),
('82-234', '1935:531'),
('82-234', '1935:812'),
('82-234', '1938:680'),
('82-235', '1946:724'),
('82-237', '1946:596'),
('82-241', '1900:339'),
('82-242', '1946:753'),
('82-243', '1934:847'),
('82-245', '1948:65'),
('82-245', '1949:288'),
('82-246', '1944:373'),
('82-247', '1939:2'),
('82-247', '1944:479'),
('82-247', '1949:288'),
('82-248', '1895:23'),
('82-248', '1909:321'),
('82-248', '1949:782'),
('82-248', '1950:512'),
('82-249', '1948:169'),
('82-249', '1949:626'),
('82-249', '1949:783'),
('82-249', '1950:16'),
('82-249', '1950:220'),
('82-249', '1950:896'),
('82-251', '1939:2'),
('82-253', '1932:314'),
('82-253', '1936:858'),
('82-253', '1939:190'),
('82-253', '1945:557'),
('82-253', '1946:251'),
('82-253', '1946:957'),
('82-253', '1947:520'),
('82-253', '1948:169'),
('82-253', '1948:625'),
('82-253', '1948:65'),
('82-253', '1949:782'),
('82-253', '1950:171'),
('82-253', '1950:809'),
('82-253', '1950:932'),
('82-254', '1948:832'),
('82-254', '1949:782'),
('82-255', '1909:100'),
('82-255', '1939:2'),
('82-256', '1946:724'),
('82-257', '1930:497'),
('82-258', '1930:497'),
('82-265', '1947:208'),
('82-271', '1947:208'),
('82-277', '1949:185'),
('82-283', '1917:29'),
('82-285', '1938:30'),
('82-286', '1930:497'),
('82-289', '1900:339'),
('82-29', '1939:2'),
('82-290', '1930:497'),
('82-298', '1946:724'),
('82-3', '1949:626'),
('82-30', '1940:779'),
('82-300', '1906:960'),
('82-300', '1938:486'),
('82-301', '1934:847'),
('82-303', '1948:826'),
('82-304', '1948:826'),
('82-307', '1917:29'),
('82-309', '1934:847'),
('82-31', '1898:541'),
('82-315', '1901:854'),
('82-32', '1898:541'),
('82-322', '1934:750'),
('82-325', '1944:268'),
('82-328', '1937:517'),
('82-329', '1934:750'),
('82-33', '1949:11'),
('82-332', '1941:553'),
('82-336', '1911:186'),
('82-337', '1934:750'),
('82-34', '1939:2'),
('82-343', '1938:680'),
('82-346', '1949:681'),
('82-346', '1950:922'),
('82-348', '1946:957'),
('82-349', '1930:497'),
('82-35', '1939:2'),
('82-351', '1930:497'),
('82-352', '1939:2'),
('82-353', '1939:2'),
('82-355', '1939:2'),
('82-36', '1940:757'),
('82-361', '1939:2'),
('82-365', '1935:85'),
('82-370', '1949:338'),
('82-371', '1935:85'),
('82-375', '1935:18'),
('82-375', '1940:757'),
('82-375', '1946:251'),
('82-375', '1949:782'),
('82-379', '1949:782'),
('82-38', '1930:497'),
('82-38', '1939:2'),
('82-380', '1900:339'),
('82-381', '1900:339'),
('82-383', '1900:339'),
('82-384', '1900:339'),
('82-385', '1900:339'),
('82-391', '1939:2'),
('82-392', '1930:497'),
('82-395', '1917:29'),
('82-395', '1950:1024'),
('82-397', '1916:458'),
('82-398', '1935:531'),
('82-399', '1926:250'),
('82-400', '1944:479'),
('82-400', '1946:957'),
('82-400', '1948:169'),
('82-400', '1949:626'),
('82-400', '1949:681'),
('82-400', '1949:782'),
('82-400', '1950:220'),
('82-401', '1940:888'),
('82-402', '1939:418'),
('82-404', '1948:166'),
('82-405', '1913:6'),
('82-408', '1949:681'),
('82-410', '1949:681'),
('82-411', '1944:373'),
('82-413', '1916:241'),
('82-413', '1921:119'),
('82-413', '1941:474'),
('82-413', '1944:626'),
('82-413', '1948:732'),
('82-413', '1950:912'),
('82-414', '1917:29'),
('82-414', '1924:190'),
('82-414', '1940:439'),
('82-414', '1940:720'),
('82-414', '1940:876'),
('82-414', '1945:652'),
('82-414', '1948:625'),
('82-414', '1948:647'),
('82-414', '1949:782'),
('82-414', '1950:1024'),
('82-414', '1950:1052'),
('82-416', '1947:343'),
('82-419', '1920:85'),
('82-420', '1935:531'),
('82-425', '1917:56'),
('82-425', '1949:299'),
('82-426', '1941:593'),
('82-427', '1924:320'),
('82-429', '1916:451'),
('82-429', '1937:296'),
('82-429', '1938:676'),
('82-429', '1946:324'),
('82-429', '1947:120'),
('82-429', '1947:163'),
('82-429', '1949:185'),
('82-429', '1949:792'),
('82-429', '1950:932'),
('82-43', '1949:412'),
('82-43', '1950:1052'),
('82-430', '1941:553'),
('82-431', '1947:343'),
('82-439', '1945:135'),
('82-445', '1928:42'),
('82-445', '1939:418'),
('82-447', '1917:145'),
('82-45', '1936:858'),
('82-45', '1940:437'),
('82-45', '1946:251'),
('82-45', '1948:169'),
('82-45', '1948:658'),
('82-45', '1949:138'),
('82-45', '1950:1052'),
('82-45', '1950:467'),
('82-45', '1950:896'),
('82-45', '1950:912'),
('82-45', '1950:932'),
('82-451', '1905:1501'),
('82-451', '1912:308'),
('82-451', '1914:79'),
('82-451', '1915:144'),
('82-451', '1916:313'),
('82-451', '1922:369'),
('82-451', '1923:288'),
('82-451', '1928:687'),
('82-451', '1933:25'),
('82-451', '1935:338'),
('82-451', '1935:85'),
('82-451', '1936:432'),
('82-451', '1937:517'),
('82-451', '1938:30'),
('82-451', '1939:190'),
('82-451', '1939:2'),
('82-451', '1939:615'),
('82-451', '1942:31'),
('82-451', '1945:557'),
('82-451', '1946:964'),
('82-451', '1947:125'),
('82-451', '1947:141'),
('82-451', '1947:519'),
('82-451', '1948:471'),
('82-451', '1949:338'),
('82-451', '1949:772'),
('82-451', '1950:896'),
('82-452', '1897:358'),
('82-452', '1916:458'),
('82-452', '1920:219'),
('82-452', '1923:262'),
('82-452', '1926:347'),
('82-452', '1927:155'),
('82-452', '1927:489'),
('82-452', '1934:868'),
('82-452', '1935:531'),
('82-452', '1936:541'),
('82-452', '1938:675'),
('82-452', '1938:676'),
('82-452', '1941:362'),
('82-452', '1944:268'),
('82-452', '1944:373'),
('82-452', '1946:672'),
('82-452', '1948:270'),
('82-452', '1948:465'),
('82-452', '1948:481'),
('82-452', '1948:625'),
('82-452', '1948:758'),
('82-452', '1948:826'),
('82-452', '1949:236'),
('82-452', '1949:275'),
('82-452', '1950:896'),
('82-453', '1916:241'),
('82-453', '1938:328'),
('82-453', '1944:300'),
('82-453', '1947:324'),
('82-453', '1949:782'),
('82-455', '1930:497'),
('82-455', '1932:522'),
('82-455', '1933:32'),
('82-455', '1934:652'),
('82-455', '1934:847'),
('82-455', '1936:858'),
('82-455', '1937:896'),
('82-455', '1939:190'),
('82-455', '1940:757'),
('82-455', '1942:247'),
('82-455', '1944:268'),
('82-455', '1945:557'),
('82-455', '1946:324'),
('82-455', '1946:33'),
('82-455', '1946:724'),
('82-455', '1947:361'),
('82-455', '1948:826'),
('82-455', '1948:832'),
('82-455', '1949:185'),
('82-455', '1949:338'),
('82-455', '1949:782'),
('82-455', '1950:171'),
('82-455', '1950:94'),
('82-456', '1898:541'),
('82-457', '1898:541'),
('82-46', '1930:497'),
('82-460', '1935:338'),
('82-461', '1948:625'),
('82-464', '1938:30'),
('82-465', '1939:2'),
('82-468', '1939:2'),
('82-47', '1938:601'),
('82-47', '1945:557'),
('82-470', '1921:18'),
('82-470', '1944:172'),
('82-470', '1944:298'),
('82-470', '1944:665'),
('82-470', '1945:557'),
('82-470', '1949:285'),
('82-470', '1949:288'),
('82-470', '1949:694'),
('82-470', '1949:782'),
('82-470', '1950:946'),
('82-471', '1895:23'),
('82-471', '1929:33'),
('82-471', '1939:2'),
('82-471', '1940:437'),
('82-471', '1941:268'),
('82-471', '1946:530'),
('82-471', '1949:138'),
('82-471', '1949:185'),
('82-471', '1949:782'),
('82-472', '1887:104'),
('82-476', '1938:690'),
('82-476', '1942:547'),
('82-476', '1946:931'),
('82-476', '1947:343'),
('82-476', '1947:38'),
('82-476', '1948:449'),
('82-476', '1948:625'),
('82-476', '1948:708'),
('82-476', '1949:626'),
('82-476', '1949:681'),
('82-476', '1950:383'),
('82-48', '1917:56'),
('82-48', '1948:169'),
('82-481', '1921:42'),
('82-482', '1921:42'),
('82-483', '1900:339'),
('82-484', '1900:339'),
('82-484', '1937:517'),
('82-485', '1900:339'),
('82-485', '1921:42'),
('82-488', '1949:626'),
('82-488', '1949:681'),
('82-488', '1949:782'),
('82-490', '1895:23'),
('82-492', '1887:104'),
('82-493', '1937:690'),
('82-493', '1937:815'),
('82-493', '1939:367'),
('82-493', '1947:258'),
('82-493', '1949:146'),
('82-493', '1949:226'),
('82-495', '1901:854'),
('82-495', '1921:119'),
('82-495', '1938:601'),
('82-495', '1944:479'),
('82-495', '1945:557'),
('82-495', '1945:583'),
('82-495', '1946:251'),
('82-495', '1946:957'),
('82-495', '1948:36'),
('82-495', '1949:11'),
('82-495', '1949:185'),
('82-495', '1949:354'),
('82-495', '1949:782'),
('82-495', '1950:912'),
('82-50', '1930:497'),
('82-50', '1933:25'),
('82-50', '1938:679'),
('82-504', '1912:390'),
('82-504', '1945:557'),
('82-504', '1950:188'),
('82-51', '1948:449'),
('82-51', '1948:625'),
('82-51', '1949:681'),
('82-51', '1949:782'),
('82-516', '1950:1024'),
('82-517', '1948:708'),
('82-518', '1946:281'),
('82-519', '1933:32'),
('82-522', '1924:320'),
('82-522', '1945:557'),
('82-522', '1949:288'),
('82-523', '1900:339'),
('82-53', '1949:227'),
('82-531', '1932:522'),
('82-531', '1933:64'),
('82-531', '1934:847'),
('82-531', '1944:268'),
('82-531', '1948:832'),
('82-531', '1949:338'),
('82-531', '1949:89'),
('82-533', '1950:967'),
('82-534', '1946:324'),
('82-536', '1944:287'),
('82-536', '1949:782'),
('82-537', '1944:358'),
('82-538', '1938:601'),
('82-539', '1939:2'),
('82-541', '1949:782'),
('82-542', '1914:311'),
('82-542', '1938:601'),
('82-543', '1913:6'),
('82-543', '1950:967'),
('82-545', '1949:782'),
('82-547', '1932:314'),
('82-547', '1945:557'),
('82-547', '1946:251'),
('82-547', '1946:957'),
('82-547', '1947:163'),
('82-547', '1947:520'),
('82-547', '1948:169'),
('82-547', '1948:65'),
('82-547', '1948:826'),
('82-547', '1949:338'),
('82-547', '1950:220'),
('82-547', '1950:809'),
('82-547', '1950:932'),
('82-550', '1935:531'),
('82-550', '1944:268'),
('82-550', '1944:9'),
('82-550', '1949:681'),
('82-550', '1950:946'),
('82-552', '1941:87'),
('82-552', '1946:324'),
('82-552', '1949:185'),
('82-552', '1949:782'),
('82-554', '1934:652'),
('82-554', '1946:324'),
('82-554', '1949:782'),
('82-555', '1930:349'),
('82-555', '1949:782'),
('82-556', '1887:104'),
('82-558', '1934:847'),
('82-563', '1946:724'),
('82-564', '1946:324'),
('82-567', '1939:2'),
('82-571', '1936:858'),
('82-573', '1946:753'),
('82-574', '1946:753'),
('82-576', '1939:2'),
('82-576', '1942:247'),
('82-577', '1939:418'),
('82-578', '1939:418'),
('82-579', '1948:758'),
('82-58', '1939:2'),
('82-58', '1942:619'),
('82-580', '1930:497'),
('82-583', '1944:373'),
('82-585', '1938:30'),
('82-585', '1949:792'),
('82-586', '1936:858'),
('82-586', '1946:82'),
('82-589', '1939:2'),
('82-590', '1920:219'),
('82-590', '1934:868'),
('82-590', '1935:531'),
('82-590', '1935:812'),
('82-590', '1950:809'),
('82-592', '1925:443'),
('82-593', '1946:724'),
('82-594', '1887:104'),
('82-594', '1895:23'),
('82-594', '1897:358'),
('82-594', '1898:541'),
('82-594', '1900:339'),
('82-594', '1905:1501'),
('82-594', '1912:308'),
('82-594', '1913:6'),
('82-594', '1914:311'),
('82-594', '1914:79'),
('82-594', '1915:144'),
('82-594', '1916:241'),
('82-594', '1916:313'),
('82-594', '1916:458'),
('82-594', '1917:29'),
('82-594', '1918:74'),
('82-594', '1920:219'),
('82-594', '1921:119'),
('82-594', '1921:42'),
('82-594', '1921:8'),
('82-594', '1922:369'),
('82-594', '1923:217'),
('82-594', '1923:262'),
('82-594', '1923:288'),
('82-594', '1924:182'),
('82-594', '1924:190'),
('82-594', '1924:320'),
('82-594', '1926:250'),
('82-594', '1927:155'),
('82-594', '1927:489'),
('82-594', '1928:42'),
('82-594', '1928:687'),
('82-594', '1929:33'),
('82-594', '1930:349'),
('82-594', '1930:497'),
('82-594', '1932:522'),
('82-594', '1933:25'),
('82-594', '1933:32'),
('82-594', '1933:64'),
('82-594', '1934:652'),
('82-594', '1934:672'),
('82-594', '1934:750'),
('82-594', '1934:847'),
('82-594', '1935:18'),
('82-594', '1935:338'),
('82-594', '1935:531'),
('82-594', '1935:812'),
('82-594', '1935:85'),
('82-594', '1936:432'),
('82-594', '1936:541'),
('82-594', '1936:858'),
('82-594', '1936:881'),
('82-594', '1937:517'),
('82-594', '1937:690'),
('82-594', '1938:30'),
('82-594', '1938:601'),
('82-594', '1938:675'),
('82-594', '1938:676'),
('82-594', '1938:680'),
('82-594', '1938:690'),
('82-594', '1939:190'),
('82-594', '1939:2'),
('82-594', '1939:418'),
('82-594', '1940:689'),
('82-594', '1940:720'),
('82-594', '1940:757'),
('82-594', '1940:876'),
('82-594', '1940:888'),
('82-594', '1941:362'),
('82-594', '1941:87'),
('82-594', '1942:166'),
('82-594', '1942:199'),
('82-594', '1942:247'),
('82-594', '1942:31'),
('82-594', '1942:413'),
('82-594', '1942:645'),
('82-594', '1944:268'),
('82-594', '1944:287'),
('82-594', '1944:358'),
('82-594', '1944:373'),
('82-594', '1944:479'),
('82-594', '1944:665'),
('82-594', '1945:135'),
('82-594', '1945:583'),
('82-594', '1946:251'),
('82-594', '1946:281'),
('82-594', '1946:324'),
('82-594', '1946:33'),
('82-594', '1946:672'),
('82-594', '1946:724'),
('82-594', '1946:753'),
('82-594', '1946:964'),
('82-594', '1946:966'),
('82-594', '1947:141'),
('82-594', '1947:163'),
